Wall time,Step,Value
1535654933.6839588,25231,4.713396072387695
1535655054.738486,25321,5.0083184242248535
1535655257.8834963,25471,5.943352699279785
1535655311.6307566,25511,4.757742881774902
1535655338.912452,25531,6.014978885650635
1535655515.2911377,25661,6.166820526123047
1535655676.09146,25781,4.524576663970947
1535655838.17158,25901,4.263513088226318
1535655973.9607215,26001,6.655684471130371
1535656055.2620368,26061,6.221870422363281
1535656285.9773557,26231,4.774819850921631
1535656367.6521692,26291,4.916152477264404
1535656381.3504505,26301,3.3455989360809326
1535656490.8182223,26381,5.445828914642334
1535656572.2606506,26441,5.627082824707031
1535656652.4142153,26501,7.043551921844482
1535656719.8490217,26551,5.1235575675964355
1535657031.7602437,26781,4.914029598236084
1535657126.7508886,26851,6.545170307159424
1535657194.2649906,26901,5.105968475341797
1535657370.5128765,27031,4.256110668182373
1535657464.9792485,27101,5.081056594848633
1535657668.2106268,27251,4.911271095275879
1535657830.150194,27371,5.343234062194824
1535657871.0083067,27401,4.235579013824463
1535658060.2775033,27541,5.617725849151611
1535658073.574657,27551,4.8117146492004395
1535658100.6518052,27571,4.6809468269348145
1535658533.5223703,27891,5.6190338134765625
1535658547.0141296,27901,5.455552577972412
1535658560.3206785,27911,5.5362324714660645
1535658655.509749,27981,3.5620033740997314
1535658804.401409,28091,4.641168117523193
1535659008.9118268,28241,4.566679954528809
1535659077.0443516,28291,4.578547954559326
1535659483.8035095,28591,5.153687477111816
1535659659.546989,28721,4.38012170791626
1535659781.991806,28811,6.065865993499756
1535659903.662752,28901,3.931389570236206
1535659984.7600298,28961,4.3813886642456055
1535660038.9540195,29001,4.101812839508057
1535660270.2064629,29171,3.9785149097442627
1535660297.4940085,29191,4.624477386474609
1535660310.9729018,29201,5.124465465545654
1535660473.6356485,29321,6.097816467285156
1535660946.4204426,29671,4.95720911026001
1535661055.414113,29751,5.3566670417785645
1535661365.4588284,29981,5.604521751403809
1535661487.2553313,30071,4.94264554977417
1535661514.2773626,30091,3.8098063468933105
1535661541.3112512,30111,4.402247905731201
1535661596.0510736,30151,3.921684503555298
1535661609.7287135,30161,4.028135299682617
1535661757.7767308,30271,6.6005730628967285
1535661798.4607503,30301,3.974130630493164
1535661906.8844175,30381,4.446628093719482
1535661947.525127,30411,3.940781593322754
1535662272.0749402,30651,3.318838119506836
1535662326.3302543,30691,5.4367170333862305
1535662353.3269472,30711,5.552416801452637
1535662556.9331663,30861,4.920660495758057
1535662732.9663048,30991,5.154874801635742
1535663044.5008285,31221,4.414608955383301
1535663248.4014907,31371,4.4416961669921875
1535663357.0687988,31451,4.573177814483643
1535663425.1282783,31501,5.119412899017334
1535663492.5990443,31551,3.9335899353027344
1535663547.2637699,31591,4.491324424743652
1535663574.491874,31611,4.441196441650391
1535663791.0955703,31771,4.7395148277282715
1535664033.842077,31951,5.262776851654053
1535664046.8262005,31961,3.324065685272217
1535664140.8987246,32031,3.5554399490356445
1535664181.7198057,32061,4.324431419372559
1535664506.2517624,32301,6.00299596786499
1535664546.8981707,32331,3.5181806087493896
1535664641.9815843,32401,4.397676467895508
1535664682.233775,32431,7.594167709350586
1535664695.652467,32441,3.716519594192505
1535664722.6203983,32461,4.757221221923828
1535664736.1859684,32471,4.8556413650512695
1535665075.0166175,32721,3.9816572666168213
1535665197.3098853,32811,3.779597759246826
1535665522.46113,33051,4.278754234313965
1535665630.1722422,33131,4.020430564880371
1535665818.8266459,33271,3.7658398151397705
1535665832.4942205,33281,4.416806697845459
1535665899.884285,33331,3.2235405445098877
1535666060.8473902,33451,6.369286060333252
1535666453.1242535,33741,4.5156145095825195
1535666480.0523314,33761,4.491340637207031
1535666507.2697537,33781,6.073110103607178
1535666614.7389262,33861,3.831484317779541
1535666846.786484,34031,3.9924871921539307
1535666914.295794,34081,5.9147047996521
1535667210.9488757,34301,4.705043315887451
1535667251.3248844,34331,4.15070104598999
1535667318.910277,34381,4.875296115875244
1535667467.0447166,34491,3.5506083965301514
1535667493.7545583,34511,3.274045467376709
1535667588.6081946,34581,3.6862494945526123
1535667669.8682714,34641,4.13857364654541
1535667764.8014042,34711,3.7183337211608887
1535667845.8162465,34771,4.767816543579102
1535667886.7841709,34801,4.460561275482178
1535668116.937351,34971,4.955610275268555
1535668278.94519,35091,3.839496612548828
1535668319.8477876,35121,4.119085311889648
1535668414.2470536,35191,4.183234691619873
1535668629.7848244,35351,3.7558274269104004
1535668656.7568352,35371,3.5114831924438477
1535668737.8574908,35431,4.038937091827393
1535668791.8954453,35471,4.234210014343262
1535669006.9381866,35631,3.305354118347168
1535669235.879825,35801,4.584839820861816
1535669505.5685503,36001,3.7350080013275146
1535669749.2506077,36181,3.813476085662842
1535669776.0664592,36201,3.657482862472534
1535669803.279214,36221,3.836224317550659
1535669844.1030734,36251,4.2228617668151855
1535669884.1388154,36281,4.424768924713135
1535670113.2267783,36451,4.6015706062316895
1535670262.9710164,36561,3.8935673236846924
1535670451.3749185,36701,3.526029109954834
1535670855.8061478,37001,4.1336565017700195
1535670883.1772194,37021,4.533163547515869
1535671207.2623367,37261,4.462215900421143
1535671261.5631464,37301,3.4041848182678223
1535671288.6485076,37321,4.767676830291748
1535671370.016958,37381,4.694540023803711
1535671411.0933287,37411,4.000792503356934
1535671437.9992268,37431,5.372923374176025
1535671559.9401703,37521,3.6826534271240234
1535671654.2062728,37591,3.8887102603912354
1535671830.0028198,37721,4.111783504486084
1535671937.8246202,37801,3.3300139904022217
1535672112.9345753,37931,5.204846382141113
1535672140.0040753,37951,4.819665908813477
1535672180.5425503,37981,4.2853240966796875
1535672342.9721346,38101,4.74221658706665
1535672396.3466403,38141,5.295947551727295
1535672464.650861,38191,5.90362548828125
1535672491.8158581,38211,3.947061538696289
1535672626.7404118,38311,4.536252498626709
1535672681.9278407,38351,4.379116058349609
1535673074.1140254,38641,3.188732385635376
1535673141.0002,38691,4.535184860229492
1535673236.7600956,38761,5.364131927490234
1535673587.4540775,39021,3.608384609222412
1535673831.3144584,39201,4.443190097808838
1535673939.0662663,39281,3.832606554031372
1535674033.9170504,39351,4.945289611816406
1535674087.5625012,39391,3.9209418296813965
1535674236.3512094,39501,4.292651653289795
1535674317.99723,39561,4.052270889282227
1535674398.231218,39621,4.446609020233154
1535674696.042866,39841,4.456604957580566
1535674845.3915105,39951,3.5794970989227295
1535674913.3632123,40001,4.424380779266357
1535675034.9783826,40091,4.433349132537842
1535675048.504353,40101,4.19193172454834
1535675211.7181253,40221,5.339549541473389
1535675361.6817045,40331,5.659356117248535
1535675402.1448047,40361,4.294003486633301
1535675537.1858437,40461,4.968400955200195
1535676171.5782988,40931,4.870852470397949
1535676238.8935797,40981,3.790166139602661
1535676252.5937998,40991,5.101988315582275
1535676387.809872,41091,4.360869407653809
